,rewards,discount,learning rate
468,-129.31655372464292,0.995,0.15
469,-74.49226993731281,0.995,0.15
470,-317.2374559740597,0.995,0.15
471,-107.4704524277154,0.995,0.15
472,-477.8944291241212,0.995,0.15
473,-78.91596199842304,0.995,0.15
474,-140.9917797242075,0.995,0.15
475,-248.4290599466472,0.995,0.15
476,-148.62067427707348,0.995,0.15
477,-279.55020619958526,0.995,0.15
478,-277.83466088341095,0.995,0.15
479,-162.61356054125383,0.995,0.15
480,-377.0048582805477,0.995,0.15
481,-429.40051063498663,0.995,0.15
482,-103.36030058456583,0.995,0.15
483,-163.0910780561538,0.995,0.15
484,-192.12830981537866,0.995,0.15
485,-84.97725776596593,0.995,0.15
486,-88.33615453283275,0.995,0.15
487,41.215630515470735,0.995,0.15
488,-99.58920245661723,0.995,0.15
489,-150.09026928151695,0.995,0.15
490,-69.34962022357874,0.995,0.15
491,-161.9140513508455,0.995,0.15
492,-60.64120533916849,0.995,0.15
493,-121.51077755175693,0.995,0.15
494,-391.80444133577316,0.995,0.15
495,-78.43878426313941,0.995,0.15
496,-231.57716917075135,0.995,0.15
497,-46.93607449268877,0.995,0.15
498,-171.44232524766633,0.995,0.15
499,-271.784735162125,0.995,0.15
500,-99.48226379286969,0.995,0.15
501,-195.16522660992842,0.995,0.15
502,-337.1360621101289,0.995,0.15
503,-154.2680253134895,0.995,0.15
504,-237.67784062884255,0.995,0.15
505,-159.47822486057058,0.995,0.15
506,-109.08544483004367,0.995,0.15
507,-90.96020187383006,0.995,0.15
508,-70.02553067446772,0.995,0.15
509,-138.0566942563605,0.995,0.15
510,-90.5602083739507,0.995,0.15
511,-96.7310494607641,0.995,0.15
512,-165.05348657559995,0.995,0.15
513,-68.0103181032238,0.995,0.15
514,-197.43210484975887,0.995,0.15
515,-118.1347281267092,0.995,0.15
516,-79.82451968307946,0.995,0.15
517,-74.97812805096387,0.995,0.15
518,-151.8097438306175,0.995,0.15
519,-265.6401288196579,0.995,0.15
520,-383.58762309048745,0.995,0.15
521,-269.1114221401972,0.995,0.15
522,-59.73940380058329,0.995,0.15
523,-151.61504107031828,0.995,0.15
524,-222.52395722046398,0.995,0.15
525,-409.35170010420774,0.995,0.15
526,-327.46857758618637,0.995,0.15
527,-294.2587928124298,0.995,0.15
528,-316.73738670044577,0.995,0.15
529,-127.30975146753136,0.995,0.15
530,-12.181871699326152,0.995,0.15
531,-172.89782903692458,0.995,0.15
532,-170.88634751948513,0.995,0.15
533,-41.62826627137379,0.995,0.15
534,-339.85668536295043,0.995,0.15
535,-117.6500062279796,0.995,0.15
536,-41.929742699676524,0.995,0.15
537,-119.58376517957004,0.995,0.15
538,-186.64531202190096,0.995,0.15
539,-128.14929784340706,0.995,0.15
540,-420.44715109893264,0.995,0.15
541,-63.75956351010646,0.995,0.15
542,-192.750139064272,0.995,0.15
543,-106.79728906945533,0.995,0.15
544,-132.59189258861974,0.995,0.15
545,-146.31191601334456,0.995,0.15
546,38.06835039100459,0.995,0.15
547,-107.82378455159704,0.995,0.15
548,-359.5817686527492,0.995,0.15
549,-75.34032344681285,0.995,0.15
550,-87.41820021148126,0.995,0.15
551,-455.39018251961784,0.995,0.15
552,-214.55360296575418,0.995,0.15
553,-121.53675503406484,0.995,0.15
